"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2011-01-01T00:00:00","Switzerland","Number","Robbery","3,113",""
"2012-01-01T00:00:00","Switzerland","Number","Robbery","3,603",""
"2003-01-01T00:00:00","Montenegro","Number","Robbery","3,908",""
"2004-01-01T00:00:00","Montenegro","Number","Robbery","4,239",""
"2005-01-01T00:00:00","Montenegro","Number","Robbery","86",""
"2006-01-01T00:00:00","Montenegro","Number","Robbery","80",""
"2007-01-01T00:00:00","Montenegro","Number","Robbery","67",""
"2008-01-01T00:00:00","Montenegro","Number","Robbery","84",""
"2009-01-01T00:00:00","Montenegro","Number","Robbery","142",""
"2010-01-01T00:00:00","Montenegro","Number","Robbery","137",""
"2011-01-01T00:00:00","Montenegro","Number","Robbery","130",""
"2012-01-01T00:00:00","Montenegro","Number","Robbery","110",""
"2003-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","573",""
"2004-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","783",""
"2005-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","709",""
"2006-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","503",""
"2007-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","521",""
"2008-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","458",""
"2009-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","597",""
"2010-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","604",""
"2011-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","513",""
"2012-01-01T00:00:00","Former Yugoslav Republic of Macedonia, the","Number","Robbery","510",""
"2003-01-01T00:00:00","Albania","Number","Robbery",":",""
"2004-01-01T00:00:00","Albania","Number","Robbery",":",""
"2005-01-01T00:00:00","Albania","Number","Robbery",":",""
"2006-01-01T00:00:00","Albania","Number","Robbery",":",""
"2007-01-01T00:00:00","Albania","Number","Robbery",":",""
"2008-01-01T00:00:00","Albania","Number","Robbery","50",""
