Id,Country,City,Latitude,Longitude,Altitude,"position.minLat","position.maxLat","position.minLong","position.maxLong","position.lat","position.long","position.Altitude"
138,Albania,Orikum,"40.3252778","19.4713898","8.0","40.3202778","40.330277800000005","19.4663898","19.4763898","40.3252778","19.4713898","8.0"
139,Albania,Kelcyre,"40.3130556","20.1894436","171.0","40.308055599999996","40.3180556","20.1844436","20.1944436","40.3130556","20.1894436","171.0"
140,Albania,"Fushe-Arrez","42.0622222","20.0166664","590.0","42.0572222","42.0672222","20.0116664","20.021666399999997","42.0622222","20.0166664","590.0"
141,Albania,Rubik,"41.7744444","19.7861118","262.0","41.7694444","41.7794444","19.7811118","19.7911118","41.7744444","19.7861118","262.0"
142,Albania,Milot,"41.6838889","19.7155552","49.0","41.6788889","41.6888889","19.7105552","19.7205552","41.6838889","19.7155552","49.0"
143,Albania,Kurbnesh,"41.7797222","20.0836105","833.0","41.7747222","41.784722200000004","20.0786105","20.088610499999998","41.7797222","20.0836105","833.0"
144,Albania,Konispol,"39.6588889","20.1813889","478.0","39.6538889","39.6638889","20.176388900000003","20.1863889","39.6588889","20.1813889","478.0"
145,Albania,Krrabe,"41.2155556","19.9713898","542.0","41.2105556","41.220555600000004","19.9663898","19.9763898","41.2155556","19.9713898","542.0"
146,Albania,Fierze,"42.2647222","20.0269451","474.0","42.2597222","42.269722200000004","20.0219451","20.031945099999998","42.2647222","20.0269451","474.0"
147,Albania,Klos,"41.5069444","20.0866661","275.0","41.5019444","41.511944400000004","20.0816661","20.091666099999998","41.5069444","20.0866661","275.0"
148,Albania,Kutreq,"41.3966667","19.9616661","524.0","41.391666699999995","41.4016667","19.9566661","19.966666099999998","41.3966667","19.9616661","524.0"
149,Albania,Collak,"41.3152778","19.8661118","217.0","41.310277799999994","41.3202778","19.8611118","19.871111799999998","41.3152778","19.8661118","217.0"
150,Albania,Ballaj,"41.3222222","19.8802776","276.0","41.317222199999996","41.3272222","19.8752776","19.8852776","41.3222222","19.8802776","276.0"
151,Albania,Kubes,"41.4166667","19.8511105","573.0","41.4116667","41.4216667","19.8461105","19.8561105","41.4166667","19.8511105","573.0"
152,Albania,Kurte,"41.4930556","19.9972229","1328.0","41.488055599999996","41.4980556","19.9922229","20.0022229","41.4930556","19.9972229","1328.0"
153,Albania,Melcize,"41.3952778","19.8222218","130.0","41.3902778","41.400277800000005","19.817221800000002","19.8272218","41.3952778","19.8222218","130.0"
154,Albania,Livadhet,"41.4080556","19.9047222","395.0","41.403055599999995","41.4130556","19.8997222","19.909722199999997","41.4080556","19.9047222","395.0"
155,Albania,"Gurra e Vogel","41.2863889","19.8883324","240.0","41.281388899999996","41.2913889","19.8833324","19.8933324","41.2863889","19.8883324","240.0"
156,Albania,Celiku,"41.2761111","19.8522224","157.0","41.2711111","41.281111100000004","19.8472224","19.857222399999998","41.2761111","19.8522224","157.0"
157,Albania,Kamere,"41.4719444","19.9708328","1286.0","41.466944399999996","41.4769444","19.9658328","19.9758328","41.4719444","19.9708328","1286.0"
158,Albania,"Mal Pjec","41.4786111","19.9547215","1155.0","41.4736111","41.483611100000005","19.949721500000003","19.9597215","41.4786111","19.9547215","1155.0"
159,Albania,Dallashi,"41.2830556","19.8763885","241.0","41.278055599999995","41.2880556","19.871388500000002","19.8813885","41.2830556","19.8763885","241.0"
